PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,3378b500,and,LOGICAL,"a6, a0, a1",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa42485be,0x1c86f4ed,0x4d12570d,0xdee5ffae,0xb5f0c14,0x51194896,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc98,6f004000,j,UBRANCH,4,0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa42485be,0x1c86f4ed,0x4d12570d,0xdee5ffae,0xb5f0c14,0x51194896,0x40484ac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc9c,33460601,xor,LOGICAL,"a2, a2, a6",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa42485be,0x1c86f4ed,0x4d12570d,0xdee5ffae,0xb5f0c14,0x51194896,0x40484ac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca0,13152500,slli,SHIFT,"a0, a0, 2",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa42485be,0x1c86f4ed,0x4916d3a1,0xdee5ffae,0xb5f0c14,0x51194896,0x40484ac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca4,13172700,slli,SHIFT,"a4, a4, 2",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x909216f8,0x1c86f4ed,0x4916d3a1,0xdee5ffae,0xb5f0c14,0x51194896,0x40484ac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca8,3378e500,and,LOGICAL,"a6, a0, a4",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x909216f8,0x1c86f4ed,0x4916d3a1,0xdee5ffae,0x2d7c3050,0x51194896,0x40484ac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcac,6f004000,j,UBRANCH,4,0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x909216f8,0x1c86f4ed,0x4916d3a1,0xdee5ffae,0x2d7c3050,0x51194896,0x101050,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb0,13552500,srli,SHIFT,"a0, a0, 2",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x909216f8,0x1c86f4ed,0x4916d3a1,0xdee5ffae,0x2d7c3050,0x51194896,0x101050,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb4,13572700,srli,SHIFT,"a4, a4, 2",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x242485be,0x1c86f4ed,0x4916d3a1,0xdee5ffae,0x2d7c3050,0x51194896,0x101050,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb8,33460601,xor,LOGICAL,"a2, a2, a6",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x242485be,0x1c86f4ed,0x4916d3a1,0xdee5ffae,0xb5f0c14,0x51194896,0x101050,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcbc,13162600,slli,SHIFT,"a2, a2, 2",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x242485be,0x1c86f4ed,0x4906c3f1,0xdee5ffae,0xb5f0c14,0x51194896,0x101050,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc0,33460601,xor,LOGICAL,"a2, a2, a6",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x242485be,0x1c86f4ed,0x241b0fc4,0xdee5ffae,0xb5f0c14,0x51194896,0x101050,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc4,13562600,srli,SHIFT,"a2, a2, 2",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x242485be,0x1c86f4ed,0x240b1f94,0xdee5ffae,0xb5f0c14,0x51194896,0x101050,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc8,33f8e600,and,LOGICAL,"a6, a3, a4",0x0,0xec0,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x242485be,0x1c86f4ed,0x902c7e5,0xdee5ffae,0xb5f0c14,0x51194896,0x101050,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
