PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,3378b500,and,LOGICAL,"a6, a0, a1",0x0,0xec8,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xdae3cd5e,0xaf836716,0xc052dfed,0x2981ddb9,0xd3adeb31,0x73e1083a,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc98,13000000,nop,ARITHMETIC,,0x0,0xec8,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xdae3cd5e,0xaf836716,0xc052dfed,0x2981ddb9,0xd3adeb31,0x73e1083a,0x8a834516,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc9c,33460601,xor,LOGICAL,"a2, a2, a6",0x0,0xec8,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xdae3cd5e,0xaf836716,0xc052dfed,0x2981ddb9,0xd3adeb31,0x73e1083a,0x8a834516,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca0,93880800,mv,ARITHMETIC,"a7, a7",0x0,0xec8,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xdae3cd5e,0xaf836716,0x4ad19afb,0x2981ddb9,0xd3adeb31,0x73e1083a,0x8a834516,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca4,13152500,slli,SHIFT,"a0, a0, 2",0x0,0xec8,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xdae3cd5e,0xaf836716,0x4ad19afb,0x2981ddb9,0xd3adeb31,0x73e1083a,0x8a834516,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca8,13090900,mv,ARITHMETIC,"s2, s2",0x0,0xec8,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6b8f3578,0xaf836716,0x4ad19afb,0x2981ddb9,0xd3adeb31,0x73e1083a,0x8a834516,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcac,13172700,slli,SHIFT,"a4, a4, 2",0x0,0xec8,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6b8f3578,0xaf836716,0x4ad19afb,0x2981ddb9,0xd3adeb31,0x73e1083a,0x8a834516,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb0,13000000,nop,ARITHMETIC,,0x0,0xec8,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6b8f3578,0xaf836716,0x4ad19afb,0x2981ddb9,0x4eb7acc4,0x73e1083a,0x8a834516,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb4,3378e500,and,LOGICAL,"a6, a0, a4",0x0,0xec8,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6b8f3578,0xaf836716,0x4ad19afb,0x2981ddb9,0x4eb7acc4,0x73e1083a,0x8a834516,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb8,13552500,srli,SHIFT,"a0, a0, 2",0x0,0xec8,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x6b8f3578,0xaf836716,0x4ad19afb,0x2981ddb9,0x4eb7acc4,0x73e1083a,0x4a872440,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
