PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,b378b500,and,LOGICAL,"a7, a0, a1",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x93d92780,0xf1c88b23,0x7a68e0f2,0x4b5b867b,0xf6d355,0x64468ceb,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc98,33461601,xor,LOGICAL,"a2, a2, a7",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x93d92780,0xf1c88b23,0x7a68e0f2,0x4b5b867b,0xf6d355,0x64468ceb,0x0,0x91c80300,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc9c,13152500,slli,SHIFT,"a0, a0, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x93d92780,0xf1c88b23,0xeba0e3f2,0x4b5b867b,0xf6d355,0x64468ceb,0x0,0x91c80300,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca0,13172700,slli,SHIFT,"a4, a4, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x4f649e00,0xf1c88b23,0xeba0e3f2,0x4b5b867b,0xf6d355,0x64468ceb,0x0,0x91c80300,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca4,b378e500,and,LOGICAL,"a7, a0, a4",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x4f649e00,0xf1c88b23,0xeba0e3f2,0x4b5b867b,0x3db4d54,0x64468ceb,0x0,0x91c80300,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca8,13552500,srli,SHIFT,"a0, a0, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x4f649e00,0xf1c88b23,0xeba0e3f2,0x4b5b867b,0x3db4d54,0x64468ceb,0x0,0x3400c00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcac,13572700,srli,SHIFT,"a4, a4, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x13d92780,0xf1c88b23,0xeba0e3f2,0x4b5b867b,0x3db4d54,0x64468ceb,0x0,0x3400c00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb0,13162600,slli,SHIFT,"a2, a2, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x13d92780,0xf1c88b23,0xeba0e3f2,0x4b5b867b,0xf6d355,0x64468ceb,0x0,0x3400c00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb4,33461601,xor,LOGICAL,"a2, a2, a7",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x13d92780,0xf1c88b23,0xae838fc8,0x4b5b867b,0xf6d355,0x64468ceb,0x0,0x3400c00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb8,13562600,srli,SHIFT,"a2, a2, 2",0x0,0xeb4,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x13d92780,0xf1c88b23,0xadc383c8,0x4b5b867b,0xf6d355,0x64468ceb,0x0,0x3400c00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
