PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,3378b500,and,LOGICAL,"a6, a0, a1",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x6bf30f36,0xb3fed8ba,0x5a18807c,0x7dab1fdd,0xb3d62a08,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc98,33460601,xor,LOGICAL,"a2, a2, a6",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x6bf30f36,0xb3fed8ba,0x5a18807c,0x7dab1fdd,0xb3d62a08,0x3830132,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc9c,13152500,slli,SHIFT,"a0, a0, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x6bf30f36,0xb07dd988,0x5a18807c,0x7dab1fdd,0xb3d62a08,0x3830132,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca0,13172700,slli,SHIFT,"a4, a4, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xe2d85ec,0x6bf30f36,0xb07dd988,0x5a18807c,0x7dab1fdd,0xb3d62a08,0x3830132,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca4,3378e500,and,LOGICAL,"a6, a0, a4",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xe2d85ec,0x6bf30f36,0xb07dd988,0x5a18807c,0xf6ac7f74,0xb3d62a08,0x3830132,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca8,13552500,srli,SHIFT,"a0, a0, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xe2d85ec,0x6bf30f36,0xb07dd988,0x5a18807c,0xf6ac7f74,0xb3d62a08,0x62c0564,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcac,13572700,srli,SHIFT,"a4, a4, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x6bf30f36,0xb07dd988,0x5a18807c,0xf6ac7f74,0xb3d62a08,0x62c0564,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb0,13162600,slli,SHIFT,"a2, a2, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x6bf30f36,0xb07dd988,0x5a18807c,0x3dab1fdd,0xb3d62a08,0x62c0564,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb4,33460601,xor,LOGICAL,"a2, a2, a6",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x6bf30f36,0xc1f76620,0x5a18807c,0x3dab1fdd,0xb3d62a08,0x62c0564,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb8,13562600,srli,SHIFT,"a2, a2, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x6bf30f36,0xc7db6344,0x5a18807c,0x3dab1fdd,0xb3d62a08,0x62c0564,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcbc,33f8e600,and,LOGICAL,"a6, a3, a4",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x6bf30f36,0x31f6d8d1,0x5a18807c,0x3dab1fdd,0xb3d62a08,0x62c0564,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc0,b3c70701,xor,LOGICAL,"a5, a5, a6",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x6bf30f36,0x31f6d8d1,0x5a18807c,0x3dab1fdd,0xb3d62a08,0x1808005c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc4,93962600,slli,SHIFT,"a3, a3, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x6bf30f36,0x31f6d8d1,0x5a18807c,0x3dab1fdd,0xabde2a54,0x1808005c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcc8,93952500,slli,SHIFT,"a1, a1, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x6bf30f36,0x31f6d8d1,0x686201f0,0x3dab1fdd,0xabde2a54,0x1808005c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xccc,33f8b600,and,LOGICAL,"a6, a3, a1",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0xafcc3cd8,0x31f6d8d1,0x686201f0,0x3dab1fdd,0xabde2a54,0x1808005c,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcd0,93d62600,srli,SHIFT,"a3, a3, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0xafcc3cd8,0x31f6d8d1,0x686201f0,0x3dab1fdd,0xabde2a54,0x284000d0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcd4,93d52500,srli,SHIFT,"a1, a1, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0xafcc3cd8,0x31f6d8d1,0x1a18807c,0x3dab1fdd,0xabde2a54,0x284000d0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcd8,93972700,slli,SHIFT,"a5, a5, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x2bf30f36,0x31f6d8d1,0x1a18807c,0x3dab1fdd,0xabde2a54,0x284000d0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcdc,b3c70701,xor,LOGICAL,"a5, a5, a6",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x2bf30f36,0x31f6d8d1,0x1a18807c,0x3dab1fdd,0xaf78a950,0x284000d0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xce0,93d72700,srli,SHIFT,"a5, a5, 2",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x2bf30f36,0x31f6d8d1,0x1a18807c,0x3dab1fdd,0x8738a980,0x284000d0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xce4,33480801,xor,LOGICAL,"a6, a6, a6",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x2bf30f36,0x31f6d8d1,0x1a18807c,0x3dab1fdd,0x21ce2a60,0x284000d0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xce8,13850700,mv,ARITHMETIC,"a0, a5",0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x38b617b,0x2bf30f36,0x31f6d8d1,0x1a18807c,0x3dab1fdd,0x21ce2a60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcec,67800000,ret,UBRANCH,,0x0,0xeb4,0x7ff3ceac,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x21ce2a60,0x2bf30f36,0x31f6d8d1,0x1a18807c,0x3dab1fdd,0x21ce2a60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
