PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,93020500,mv,ARITHMETIC,"t0, a0",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x312e313,0x43306721,0xe3786f25,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0xed3c5abf,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x66e7841d,0x37,0xc0286405,0x45b3670a
0xc98,13830500,mv,ARITHMETIC,"t1, a1",0x0,0xe58,0x7ff3cee4,0x0,0x0,0xe24043ec,0x43306721,0xe3786f25,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0xed3c5abf,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x66e7841d,0x37,0xc0286405,0x45b3670a
0xc9c,93030600,mv,ARITHMETIC,"t2, a2",0x0,0xe58,0x7ff3cee4,0x0,0x0,0xe24043ec,0x47b62253,0xe3786f25,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0xed3c5abf,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x66e7841d,0x37,0xc0286405,0x45b3670a
0xca0,138e0600,mv,ARITHMETIC,"t3, a3",0x0,0xe58,0x7ff3cee4,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0xed3c5abf,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x66e7841d,0x37,0xc0286405,0x45b3670a
0xca4,930e0700,mv,ARITHMETIC,"t4, a4",0x0,0xe58,0x7ff3cee4,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0xed3c5abf,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xed3c5abf,0x37,0xc0286405,0x45b3670a
0xca8,33ff7200,and,LOGICAL,"t5, t0, t2",0x0,0xe58,0x7ff3cee4,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0xed3c5abf,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xed3c5abf,0x37,0xc0286405,0x45b3670a
0xcac,b37fc301,and,LOGICAL,"t6, t1, t3",0x0,0xe58,0x7ff3cee4,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0xed3c5abf,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xed3c5abf,0x37,0xc00042cc,0x45b3670a
0xcb0,b3f2c201,and,LOGICAL,"t0, t0, t3",0x0,0xe58,0x7ff3cee4,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0xed3c5abf,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xed3c5abf,0x37,0xc00042cc,0x45340213
0xcb4,33737300,and,LOGICAL,"t1, t1, t2",0x0,0xe58,0x7ff3cee4,0x0,0x0,0xe00042ac,0x47b62253,0xcc0872dc,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0xed3c5abf,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xed3c5abf,0x37,0xc00042cc,0x45340213
0xcb8,b3c26200,xor,LOGICAL,"t0, t0, t1",0x0,0xe58,0x7ff3cee4,0x0,0x0,0xe00042ac,0x44002250,0xcc0872dc,0x0,0x0,0xe24043ec,0x47b62253,0xcc0872dc,0xed3c5abf,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xed3c5abf,0x37,0xc00042cc,0x45340213
