PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,93020500,mv,ARITHMETIC,"t0, a0",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x71814ea,0x10020c5,0xed3478d5,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x69fb43c,0x37,0xe51030d0,0x51830c6
0xc98,13830500,mv,ARITHMETIC,"t1, a1",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c66f7f7,0x10020c5,0xed3478d5,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x69fb43c,0x37,0xe51030d0,0x51830c6
0xc9c,93030600,mv,ARITHMETIC,"t2, a2",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c66f7f7,0x697c0d56,0xed3478d5,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x69fb43c,0x37,0xe51030d0,0x51830c6
0xca0,138e0600,mv,ARITHMETIC,"t3, a3",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x69fb43c,0x37,0xe51030d0,0x51830c6
0xca4,930e0700,mv,ARITHMETIC,"t4, a4",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95c4fe9d,0x37,0xe51030d0,0x51830c6
0xca8,33ff7200,and,LOGICAL,"t5, t0, t2",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95c4fe9d,0x37,0xe51030d0,0x51830c6
0xcac,b37fc301,and,LOGICAL,"t6, t1, t3",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95c4fe9d,0x37,0x6c66e794,0x51830c6
0xcb0,b3f2c201,and,LOGICAL,"t0, t0, t3",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95c4fe9d,0x37,0x6c66e794,0x1440c14
0xcb4,33737300,and,LOGICAL,"t1, t1, t2",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x444f695,0x697c0d56,0xeeffef9c,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95c4fe9d,0x37,0x6c66e794,0x1440c14
0xcb8,b3c26200,xor,LOGICAL,"t0, t0, t1",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x444f695,0x687c0d14,0xeeffef9c,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95c4fe9d,0x37,0x6c66e794,0x1440c14
0xcbc,b3c2d201,xor,LOGICAL,"t0, t0, t4",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c38fb81,0x687c0d14,0xeeffef9c,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95c4fe9d,0x37,0x6c66e794,0x1440c14
0xcc0,b3cf5f00,xor,LOGICAL,"t6, t6, t0",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c38fbb6,0x687c0d14,0xeeffef9c,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95c4fe9d,0x37,0x6c66e794,0x1440c14
0xcc4,13050f00,mv,ARITHMETIC,"a0, t5",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c38fbb6,0x687c0d14,0xeeffef9c,0x0,0x0,0x6c66f7f7,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95c4fe9d,0x37,0x6c66e794,0x6d7cf7a2
0xcc8,93850f00,mv,ARITHMETIC,"a1, t6",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c38fbb6,0x687c0d14,0xeeffef9c,0x0,0x0,0x6c66e794,0x697c0d56,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95c4fe9d,0x37,0x6c66e794,0x6d7cf7a2
0xccc,67800000,ret,UBRANCH,,0x0,0xe58,0x7ff3cee4,0x0,0x0,0x6c38fbb6,0x687c0d14,0xeeffef9c,0x0,0x0,0x6c66e794,0x6d7cf7a2,0xeeffef9c,0x95c4fe9d,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x95c4fe9d,0x37,0x6c66e794,0x6d7cf7a2
