PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,93020500,mv,ARITHMETIC,"t0, a0",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x1b56b75,0x80b56800,0xccb7eb82,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8330237a,0x37,0xc4864b02,0x81854b35
0xc98,13830500,mv,ARITHMETIC,"t1, a1",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x5c3afb5c,0x80b56800,0xccb7eb82,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8330237a,0x37,0xc4864b02,0x81854b35
0xc9c,93030600,mv,ARITHMETIC,"t2, a2",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x5c3afb5c,0x7e727dba,0xccb7eb82,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8330237a,0x37,0xc4864b02,0x81854b35
0xca0,138e0600,mv,ARITHMETIC,"t3, a3",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8330237a,0x37,0xc4864b02,0x81854b35
0xca4,930e0700,mv,ARITHMETIC,"t4, a4",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12ebf93c,0x37,0xc4864b02,0x81854b35
0xca8,33ff7200,and,LOGICAL,"t5, t0, t2",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12ebf93c,0x37,0xc4864b02,0x81854b35
0xcac,b37fc301,and,LOGICAL,"t6, t1, t3",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12ebf93c,0x37,0x4832d340,0x81854b35
0xcb0,b3f2c201,and,LOGICAL,"t0, t0, t3",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12ebf93c,0x37,0x4832d340,0x12627938
0xcb4,33737300,and,LOGICAL,"t1, t1, t2",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x102af91c,0x7e727dba,0x69f3d3e3,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12ebf93c,0x37,0x4832d340,0x12627938
0xcb8,b3c26200,xor,LOGICAL,"t0, t0, t1",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x102af91c,0x687251a2,0x69f3d3e3,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12ebf93c,0x37,0x4832d340,0x12627938
0xcbc,b3c2d201,xor,LOGICAL,"t0, t0, t4",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x7858a8be,0x687251a2,0x69f3d3e3,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12ebf93c,0x37,0x4832d340,0x12627938
0xcc0,b3cf5f00,xor,LOGICAL,"t6, t6, t0",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x7858a889,0x687251a2,0x69f3d3e3,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12ebf93c,0x37,0x4832d340,0x12627938
0xcc4,13050f00,mv,ARITHMETIC,"a0, t5",0x0,0xe58,0x7ff3cee4,0x0,0x0,0x7858a889,0x687251a2,0x69f3d3e3,0x0,0x0,0x5c3afb5c,0x7e727dba,0x69f3d3e3,0x12ebf93c,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12ebf93c,0x37,0x4832d340,0x6a3ad1b1
