PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,93020500,mv,ARITHMETIC,"t0, a0",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0xc96054a2,0x80600404,0x80e436ac,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x8de0cc30,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x491054b3,0x37,0x802412b7,0xc16050a2
0xc98,13830500,mv,ARITHMETIC,"t1, a1",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x85ffc51c,0x80600404,0x80e436ac,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x8de0cc30,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x491054b3,0x37,0x802412b7,0xc16050a2
0xc9c,93030600,mv,ARITHMETIC,"t2, a2",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x80e436ac,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x8de0cc30,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x491054b3,0x37,0x802412b7,0xc16050a2
0xca0,138e0600,mv,ARITHMETIC,"t3, a3",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x8de0cc30,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x491054b3,0x37,0x802412b7,0xc16050a2
0xca4,930e0700,mv,ARITHMETIC,"t4, a4",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x8de0cc30,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8de0cc30,0x37,0x802412b7,0xc16050a2
0xca8,33ff7200,and,LOGICAL,"t5, t0, t2",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x8de0cc30,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8de0cc30,0x37,0x802412b7,0xc16050a2
0xcac,b37fc301,and,LOGICAL,"t6, t1, t3",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x8de0cc30,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8de0cc30,0x37,0x10b4404,0xc16050a2
0xcb0,b3f2c201,and,LOGICAL,"t0, t0, t3",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x8de0cc30,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8de0cc30,0x37,0x10b4404,0x8080c420
0xcb4,33737300,and,LOGICAL,"t1, t1, t2",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x85e0c410,0x8096f5a3,0x4b0b76e4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x8de0cc30,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8de0cc30,0x37,0x10b4404,0x8080c420
0xcb8,b3c26200,xor,LOGICAL,"t0, t0, t1",0x0,0xe5c,0x7ff3cee4,0x0,0x0,0x85e0c410,0x274a0,0x4b0b76e4,0x0,0x0,0x85ffc51c,0x8096f5a3,0x4b0b76e4,0x8de0cc30,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8de0cc30,0x37,0x10b4404,0x8080c420
