PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,130101ff,addi,ARITHMETIC,"sp, sp, -0x10",0x0,0xe74,0x7ff3cee4,0x0,0x0,0x26103a77,0x26101942,0x2ed41f43,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3282f16,0x37,0x28d40334,0x25103361
0xc98,2320a100,sw,STORE,"a0, 0(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x26103a77,0x26101942,0x2ed41f43,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3282f16,0x37,0x28d40334,0x25103361
0xc9c,2322b100,sw,STORE,"a1, 4(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x26103a77,0x26101942,0x2ed41f43,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3282f16,0x37,0x28d40334,0x25103361
0xca0,2324c100,sw,STORE,"a2, 8(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x26103a77,0x26101942,0x2ed41f43,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3282f16,0x37,0x28d40334,0x25103361
0xca4,2326d100,sw,STORE,"a3, 0xc(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x26103a77,0x26101942,0x2ed41f43,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3282f16,0x37,0x28d40334,0x25103361
0xca8,83220100,lw,LOAD,"t0, 0(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x26103a77,0x26101942,0x2ed41f43,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3282f16,0x37,0x28d40334,0x25103361
0xcac,03234100,lw,LOAD,"t1, 4(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x3e22d7da,0x26101942,0x2ed41f43,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3282f16,0x37,0x28d40334,0x25103361
0xcb0,83238100,lw,LOAD,"t2, 8(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x3e22d7da,0xe76a16e7,0x2ed41f43,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3282f16,0x37,0x28d40334,0x25103361
0xcb4,032ec100,lw,LOAD,"t3, 0xc(sp)",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3282f16,0x37,0x28d40334,0x25103361
0xcb8,930e0700,mv,ARITHMETIC,"t4, a4",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x28d40334,0x25103361
0xcbc,33ff7200,and,LOGICAL,"t5, t0, t2",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x28d40334,0x25103361
0xcc0,b37fc301,and,LOGICAL,"t6, t1, t3",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008142,0x25103361
0xcc4,b3f2c201,and,LOGICAL,"t0, t0, t3",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008142,0x240a16c2
0xcc8,33737300,and,LOGICAL,"t1, t1, t2",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x3c0296c2,0xe76a16e7,0x499da942,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008142,0x240a16c2
0xccc,b3c26200,xor,LOGICAL,"t0, t0, t1",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x3c0296c2,0x41080042,0x499da942,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008142,0x240a16c2
0xcd0,b3c2d201,xor,LOGICAL,"t0, t0, t4",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x7d0a9680,0x41080042,0x499da942,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008142,0x240a16c2
0xcd4,334fdf01,xor,LOGICAL,"t5, t5, t4",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x7d0a96b7,0x41080042,0x499da942,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008142,0x240a16c2
0xcd8,b3cf5f00,xor,LOGICAL,"t6, t6, t0",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x7d0a96b7,0x41080042,0x499da942,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008175,0x240a16c2
0xcdc,13050f00,mv,ARITHMETIC,"a0, t5",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x7d0a96b7,0x41080042,0x499da942,0x0,0x0,0x3e22d7da,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008175,0x59008075
0xce0,93850f00,mv,ARITHMETIC,"a1, t6",0x0,0xe74,0x7ff3ced4,0x0,0x0,0x7d0a96b7,0x41080042,0x499da942,0x0,0x0,0x8008175,0xe76a16e7,0x499da942,0x3c8f96c2,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3c8f96c2,0x37,0x8008175,0x59008075
