PC,Machine,Ins,Type,Operands,zero,ra,sp,gp,tp,t0,t1,t2,s0,s1,a0,a1,a2,a3,a4,a5,a6,a7,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,t3,t4,t5,t6
0xc94,3378b500,and,LOGICAL,"a6, a0, a1",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x545566e3,0x903ededf,0x702dc7b4,0x256c0c75,0x95bdb7bd,0x4e1cae2f,0x0,0x0,0x142e8203,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc98,33460601,xor,LOGICAL,"a2, a2, a6",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x545566e3,0x903ededf,0x702dc7b4,0x256c0c75,0x95bdb7bd,0x4e1cae2f,0x101446c3,0x0,0x142e8203,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xc9c,13152500,slli,SHIFT,"a0, a0, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x545566e3,0x903ededf,0x60398177,0x256c0c75,0x95bdb7bd,0x4e1cae2f,0x101446c3,0x0,0x142e8203,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca0,13090800,mv,ARITHMETIC,"s2, a6",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x51559b8c,0x903ededf,0x60398177,0x256c0c75,0x95bdb7bd,0x4e1cae2f,0x101446c3,0x0,0x142e8203,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca4,13172700,slli,SHIFT,"a4, a4, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x51559b8c,0x903ededf,0x60398177,0x256c0c75,0x95bdb7bd,0x4e1cae2f,0x101446c3,0x0,0x101446c3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xca8,3378e500,and,LOGICAL,"a6, a0, a4",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x51559b8c,0x903ededf,0x60398177,0x256c0c75,0x56f6def4,0x4e1cae2f,0x101446c3,0x0,0x101446c3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcac,13080900,mv,ARITHMETIC,"a6, s2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x51559b8c,0x903ededf,0x60398177,0x256c0c75,0x56f6def4,0x4e1cae2f,0x50549a84,0x0,0x101446c3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb0,13552500,srli,SHIFT,"a0, a0, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x51559b8c,0x903ededf,0x60398177,0x256c0c75,0x56f6def4,0x4e1cae2f,0x101446c3,0x0,0x101446c3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb4,13572700,srli,SHIFT,"a4, a4, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x145566e3,0x903ededf,0x60398177,0x256c0c75,0x56f6def4,0x4e1cae2f,0x101446c3,0x0,0x101446c3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
0xcb8,13162600,slli,SHIFT,"a2, a2, 2",0x0,0xebc,0x7ff3cee4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x145566e3,0x903ededf,0x60398177,0x256c0c75,0x15bdb7bd,0x4e1cae2f,0x101446c3,0x0,0x101446c3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
